Loan_ID,Interest_Rate
10164310,2
10164311,3
10164312,3
10164313,3
10164314,3
10164315,3
10164316,3
10164317,3
10164318,3
10164319,3
10164320,3
10164321,2
10164322,3
10164323,3
10164324,2
10164325,3
10164326,3
10164327,3
10164328,3
10164329,3
10164330,2
10164331,3
10164332,3
10164333,3
10164334,2
10164335,2
10164336,3
10164337,3
10164338,3
10164339,3
10164340,3
10164341,3
10164342,3
10164343,3
10164344,3
10164345,3
10164346,3
10164347,2
10164348,3
10164349,2
10164350,2
10164351,2
10164352,3
10164353,3
10164354,3
10164355,3
10164356,3
10164357,3
10164358,3
10164359,3
10164360,2
10164361,3
10164362,3
10164363,3
10164364,3
10164365,3
10164366,2
10164367,3
10164368,3
10164369,3
10164370,3
10164371,3
10164372,3
10164373,2
10164374,2
10164375,3
10164376,3
10164377,3
10164378,3
10164379,3
10164380,3
10164381,3
10164382,3
10164383,3
10164384,2
10164385,3
10164386,2
10164387,3
10164388,2
10164389,2
10164390,3
10164391,3
10164392,3
10164393,3
10164394,3
10164395,2
10164396,2
10164397,3
10164398,3
10164399,2
10164400,3
10164401,2
10164402,3
10164403,3
10164404,2
10164405,2
10164406,3
10164407,3
10164408,3
10164409,2
10164410,2
10164411,2
10164412,3
10164413,2
10164414,2
10164415,3
10164416,3
10164417,3
10164418,2
10164419,2
10164420,3
10164421,2
10164422,3
10164423,2
10164424,3
10164425,2
10164426,3
10164427,3
10164428,2
10164429,3
10164430,2
10164431,3
10164432,2
10164433,2
10164434,3
10164435,3
10164436,3
10164437,3
10164438,3
10164439,3
10164440,2
10164441,3
10164442,3
10164443,3
10164444,3
10164445,3
10164446,3
10164447,3
10164448,3
10164449,2
10164450,3
10164451,3
10164452,2
10164453,2
10164454,3
10164455,3
10164456,3
10164457,3
10164458,3
10164459,2
10164460,3
10164461,3
10164462,2
10164463,3
10164464,2
10164465,2
10164466,3
10164467,3
10164468,3
10164469,2
10164470,2
10164471,3
10164472,2
10164473,3
10164474,3
10164475,3
10164476,3
10164477,3
10164478,3
10164479,3
10164480,3
10164481,2
10164482,3
10164483,2
10164484,2
10164485,2
10164486,3
10164487,3
10164488,3
10164489,3
10164490,3
10164491,3
10164492,3
10164493,2
10164494,3
10164495,3
10164496,2
10164497,3
10164498,3
10164499,3
10164500,3
10164501,2
10164502,2
10164503,2
10164504,3
10164505,2
10164506,2
10164507,2
10164508,3
10164509,3
10164510,3
10164511,3
10164512,3
10164513,3
10164514,3
10164515,2
10164516,3
10164517,2
10164518,2
10164519,3
10164520,3
10164521,2
10164522,2
10164523,3
10164524,3
10164525,3
10164526,2
10164527,2
10164528,2
10164529,3
10164530,3
10164531,2
10164532,3
10164533,2
10164534,3
10164535,3
10164536,3
10164537,2
10164538,3
10164539,3
10164540,3
10164541,2
10164542,3
10164543,3
10164544,3
10164545,3
10164546,3
10164547,3
10164548,3
10164549,3
10164550,3
10164551,3
10164552,3
10164553,3
10164554,3
10164555,3
10164556,2
10164557,3
10164558,3
10164559,2
10164560,3
10164561,3
10164562,2
10164563,3
10164564,3
10164565,3
10164566,3
10164567,3
10164568,3
10164569,3
10164570,3
10164571,3
10164572,2
10164573,2
10164574,3
10164575,2
10164576,3
10164577,3
10164578,3
10164579,2
10164580,2
10164581,3
10164582,3
10164583,3
10164584,3
10164585,3
10164586,3
10164587,3
10164588,2
10164589,3
10164590,3
10164591,3
10164592,2
10164593,2
10164594,2
10164595,3
10164596,3
10164597,3
10164598,2
10164599,3
10164600,3
10164601,2
10164602,2
10164603,3
10164604,3
10164605,3
10164606,3
10164607,3
10164608,2
10164609,2
10164610,3
10164611,3
10164612,2
10164613,3
10164614,2
10164615,2
10164616,3
10164617,3
10164618,2
10164619,3
10164620,2
10164621,3
10164622,3
10164623,2
10164624,3
10164625,2
10164626,3
10164627,3
10164628,3
10164629,2
10164630,2
10164631,3
10164632,3
10164633,3
10164634,3
10164635,3
10164636,3
10164637,2
10164638,2
10164639,3
10164640,2
10164641,3
10164642,3
10164643,3
10164644,3
10164645,3
10164646,3
10164647,3
10164648,3
10164649,3
10164650,3
10164651,2
10164652,2
10164653,3
10164654,3
10164655,3
10164656,3
10164657,2
10164658,3
10164659,3
10164660,3
10164661,3
10164662,3
10164663,3
10164664,3
10164665,3
10164666,3
10164667,3
10164668,3
10164669,2
10164670,3
10164671,3
10164672,2
10164673,3
10164674,3
10164675,3
10164676,3
10164677,3
10164678,2
10164679,2
10164680,3
10164681,3
10164682,3
10164683,3
10164684,3
10164685,3
10164686,3
10164687,3
10164688,3
10164689,3
10164690,2
10164691,3
10164692,3
10164693,2
10164694,2
10164695,2
10164696,3
10164697,3
10164698,2
10164699,3
10164700,3
10164701,2
10164702,2
10164703,3
10164704,2
10164705,3
10164706,2
10164707,3
10164708,3
10164709,2
10164710,2
10164711,3
10164712,3
10164713,3
10164714,3
10164715,2
10164716,3
10164717,2
10164718,2
10164719,2
10164720,3
10164721,3
10164722,3
10164723,2
10164724,2
10164725,2
10164726,3
10164727,3
10164728,3
10164729,3
10164730,2
10164731,2
10164732,3
10164733,3
10164734,2
10164735,2
10164736,3
10164737,3
10164738,2
10164739,3
10164740,3
10164741,3
10164742,3
10164743,3
10164744,3
10164745,3
10164746,3
10164747,3
10164748,3
10164749,2
10164750,3
10164751,2
10164752,3
10164753,3
10164754,3
10164755,3
10164756,3
10164757,2
10164758,2
10164759,3
10164760,3
10164761,3
10164762,2
10164763,2
10164764,3
10164765,3
10164766,3
10164767,2
10164768,2
10164769,3
10164770,2
10164771,3
10164772,3
10164773,3
10164774,3
10164775,3
10164776,2
10164777,2
10164778,3
10164779,3
10164780,3
10164781,3
10164782,3
10164783,3
10164784,3
10164785,3
10164786,3
10164787,3
10164788,2
10164789,3
10164790,3
10164791,3
10164792,3
10164793,3
10164794,2
10164795,2
10164796,2
10164797,2
10164798,2
10164799,3
10164800,3
10164801,2
10164802,2
10164803,3
10164804,3
10164805,3
10164806,3
10164807,3
10164808,3
10164809,3
10164810,3
10164811,3
10164812,3
10164813,3
10164814,3
10164815,2
10164816,2
10164817,2
10164818,3
10164819,3
10164820,3
10164821,2
10164822,2
10164823,3
10164824,3
10164825,2
10164826,3
10164827,2
10164828,3
10164829,2
10164830,3
10164831,3
10164832,3
10164833,3
10164834,2
10164835,3
10164836,3
10164837,3
10164838,2
10164839,3
10164840,3
10164841,2
10164842,2
10164843,3
10164844,2
10164845,2
10164846,3
10164847,3
10164848,3
10164849,3
10164850,3
10164851,3
10164852,2
10164853,2
10164854,2
10164855,3
10164856,3
10164857,3
10164858,3
10164859,3
10164860,3
10164861,3
10164862,3
10164863,3
10164864,3
10164865,3
10164866,3
10164867,2
10164868,3
10164869,3
10164870,3
10164871,3
10164872,2
10164873,2
10164874,3
10164875,3
10164876,3
10164877,3
10164878,3
10164879,2
10164880,3
10164881,3
10164882,3
10164883,3
10164884,3
10164885,3
10164886,3
10164887,3
10164888,3
10164889,2
10164890,2
10164891,3
10164892,3
10164893,3
10164894,3
10164895,3
10164896,2
